Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab
2020,1,Salta,49.5956802701287,12.0116972009766
2020,1,San Juan,32.3922921363047,8.25127788119013
2020,1,San Luis,76.3085418464193,21.8387693863723
2020,1,Santa Cruz,35.9742762889655,10.7041725372986
2020,1,Santa Fe,69.5235794025313,21.8613245878736
2020,1,Santiago Del Estero,42.4663591879918,10.5392121668386
2020,1,Tierra Del Fuego,76.0696497901879,22.5525532508604
2020,1,Tucumán,47.8479232585003,11.8524649017937
2019,4,Buenos Aires,64.2520528824542,21.1350893819089
2019,4,Capital Federal,106.245467510411,44.1870536086124
2019,4,Catamarca,36.4384291271555,9.26886507149251
2019,4,Chaco,36.8354786303424,9.84506318966921
2019,4,Chubut,51.1450178551471,15.6771711859264
2019,4,Córdoba,70.4829556624422,21.5794971664284
2019,4,Corrientes,38.7674409892621,10.208283637368
2019,4,Entre Ríos,57.9922169170451,17.339132629893
2019,4,Formosa,30.471313480544,7.75547611892472
2019,4,Jujuy,45.3775463317507,11.6039151022838
2019,4,La Pampa,76.9241896917042,25.3449218476204
2019,4,La Rioja,47.1358901105243,12.5475635674596
2019,4,Mendoza,33.6490307202718,9.39011273391884
2019,4,Misiones,39.7892368404862,10.8375819024918
2019,4,Neuquén,59.3559009282245,17.6681849769219
2019,4,Río Negro,55.7050096828749,17.1338703221798
2019,4,Salta,50.3546389223882,12.1954928055468
2019,4,San Juan,32.8549757281553,8.36915261267133
2019,4,San Luis,74.9200260348146,21.4413528932678
2019,4,Santa Cruz,36.7113630853583,10.9234277977238
2019,4,Santa Fe,69.4823572559686,21.8483506557326
2019,4,Santiago Del Estero,42.9207738235818,10.6519742883379
2019,4,Tierra Del Fuego,79.6953613637709,23.6275467526162
2019,4,Tucumán,47.6490201252129,11.8031812807121
2019,3,Buenos Aires,69.3563010607913,22.7617336155622
2019,3,Capital Federal,112.645387803721,46.9047708934881
2019,3,Catamarca,30.8836145267372,7.85595476521849
2019,3,Chaco,35.8460309754608,9.58066438752926
2019,3,Chubut,47.5662416229331,14.580466548719
2019,3,Córdoba,68.5923490106902,21.0007817769535
2019,3,Corrientes,38.4853511358672,10.1340281141787
2019,3,Entre Ríos,57.9000994579662,17.3116618255979
2019,3,Formosa,30.1124329977775,7.66417771389022
2019,3,Jujuy,44.3224868429136,11.334206981241
2019,3,La Pampa,77.4526942329175,25.5190027056414
2019,3,La Rioja,47.9429051217464,12.7624317908561
2019,3,Mendoza,40.7371425873534,11.3681890162792
2019,3,Misiones,39.3329298674438,10.713348334459
2019,3,Neuquén,64.1388726949158,19.0920756796417
2019,3,Río Negro,63.4247008870096,19.5084985912294
2019,3,Salta,44.4761779222872,10.7718546234161
2019,3,San Juan,37.0623130355423,9.44094148522601
2019,3,San Luis,85.2260887684934,24.3909711661747
2019,3,Santa Cruz,35.6281609788596,10.6015551925842
2019,3,Santa Fe,68.8717805759303,21.6564247463616
2019,3,Santiago Del Estero,55.3039114685454,13.7252880483641
2019,3,Tierra Del Fuego,96.4621096309238,28.5989251932121
2019,3,Tucumán,39.4876002040168,9.78157418438212
2019,2,Buenos Aires,67.847139823742,22.2157894842981
2019,2,Capital Federal,110.545566994852,46.0859257928109
2019,2,Catamarca,32.1309502201928,8.17339703245058
2019,2,Chaco,34.1402609798676,9.1250113292671
2019,2,Chubut,46.9879841362692,14.4038087278961
2019,2,Córdoba,68.0713093878985,20.8416372422382
2019,2,Corrientes,38.155585884188,10.0474590194205
2019,2,Entre Ríos,57.4782345887239,17.1858204446725
2019,2,Formosa,30.4182360069433,7.74219578395609
2019,2,Jujuy,44.511922790626,11.3829345908251
2019,2,La Pampa,77.083137502884,25.3978398954861
2019,2,La Rioja,48.7049391442432,12.965645588675
2019,2,Mendoza,40.7546242353627,11.3733565416729
2019,2,Misiones,39.1461255416994,10.6628255950184
2019,2,Neuquén,63.0809643276744,18.7779008056203
2019,2,Río Negro,61.0942074999118,18.7922767563462
2019,2,Salta,41.8931983203698,10.146610869132
2019,2,San Juan,35.5997173374818,9.06854016252792
2019,2,San Luis,81.789994425864,23.4082266301606
2019,2,Santa Cruz,28.8460630553221,8.58406482865588
2019,2,Santa Fe,67.4229199332195,21.2011304851442
2019,2,Santiago Del Estero,52.789971263171,13.101581339389
2019,2,Tierra Del Fuego,94.7980342802349,28.1075638215957
